Range, Beam Intensity, Beam Spread
13159.1,0.0100628,0.36114
13233.5,0.00986554,0.364545
13309,0.0096887,0.367683
13383.5,0.00958381,0.369579
13459.5,0.00946828,0.371704
13535.3,0.00929476,0.374975
13610.7,0.00909082,0.378936
13687.2,0.00889716,0.382819
13762.8,0.00867545,0.387418
13839.6,0.00853794,0.390355
13916.5,0.00840192,0.393329
13993.3,0.00826461,0.396404
14069.9,0.0081112,0.399928
14147.5,0.00787737,0.405488
14224.4,0.00772056,0.409353
14302,0.00753991,0.413948
14380.3,0.00735787,0.418741
14457.9,0.00719518,0.423173
14536.4,0.00704611,0.427363
14614.2,0.00687011,0.432476
14693.2,0.00671131,0.437255
14771.5,0.00660915,0.440423
14850.9,0.00653693,0.442712
14930.2,0.00648934,0.444247
15008.9,0.00646256,0.445126
15088.7,0.00644565,0.445692
15168.7,0.00644002,0.445894
15248.8,0.00645332,0.445482
15328.1,0.00647033,0.44495
15409,0.00645466,0.445472
15489.3,0.00640532,0.447094
